Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,79.41,80.44,79.36,80.30,841600,80.30
2015-04-07,79.72,80.06,79.32,79.32,591100,79.32
2015-04-06,78.99,80.21,78.83,79.83,775400,79.83
2015-04-02,79.32,80.08,79.17,79.63,957400,79.63
2015-04-01,79.37,79.58,78.47,79.58,980000,79.58
2015-03-31,79.32,79.90,78.89,79.40,1001600,79.40
2015-03-30,78.86,79.86,78.80,79.73,597400,79.73
2015-03-27,78.26,78.63,77.99,78.40,730000,78.40
2015-03-26,77.41,78.66,77.30,78.43,809800,78.43
2015-03-25,79.64,79.64,77.83,77.83,835600,77.83
2015-03-24,79.93,80.07,79.58,79.60,738900,79.60
2015-03-23,80.64,80.68,80.20,80.24,707800,80.24
2015-03-20,80.72,80.97,80.26,80.29,2453100,80.29
2015-03-19,79.97,80.23,79.65,80.18,945300,80.18
2015-03-18,78.28,80.17,78.14,79.84,1021400,79.84
2015-03-17,78.32,78.76,78.32,78.57,967300,78.57
2015-03-16,78.17,78.75,77.90,78.67,1160900,78.67
2015-03-13,77.98,78.23,76.93,77.40,1161400,77.40
2015-03-12,77.48,78.33,77.17,78.24,877900,78.24
2015-03-11,76.82,77.27,76.69,76.95,980400,76.95
2015-03-10,77.27,77.63,76.70,76.73,1139100,76.73
2015-03-09,77.43,78.24,77.20,78.14,1028700,78.14
2015-03-06,77.67,78.23,76.34,77.53,906400,77.53
2015-03-05,78.31,78.31,77.72,77.96,729700,77.96
2015-03-04,78.37,78.55,77.70,77.98,834600,77.98
2015-03-03,78.42,78.69,78.20,78.50,1451800,78.50
2015-03-02,78.32,79.05,77.99,78.87,1262200,78.87
2015-02-27,78.70,78.72,77.99,78.07,1171200,78.07
2015-02-26,79.07,79.25,78.42,78.64,882100,78.64
2015-02-25,78.92,79.49,78.64,78.90,1099000,78.90
2015-02-24,78.59,79.16,78.59,79.04,1313400,79.04
2015-02-23,78.18,78.95,78.17,78.81,1016400,78.81
2015-02-20,78.38,79.55,78.31,79.05,2553500,79.05
2015-02-19,79.14,79.39,78.85,79.05,969000,79.05
2015-02-18,78.41,79.09,78.31,79.05,925900,79.05
2015-02-17,78.59,79.04,78.28,78.74,953400,78.74
2015-02-13,78.49,78.73,78.20,78.70,1199400,78.70
2015-02-12,78.01,78.47,77.82,78.45,936600,78.45
2015-02-11,77.60,77.91,77.26,77.69,1270800,77.69
2015-02-10,76.72,77.66,76.50,77.50,985400,77.50
2015-02-09,76.66,76.99,76.15,76.47,971300,76.47
2015-02-06,77.12,77.80,76.71,76.98,1437700,76.98
2015-02-05,75.98,77.13,75.64,77.12,1665100,77.12
2015-02-04,74.05,76.29,73.71,75.80,2178200,75.80
2015-02-03,73.86,74.56,73.37,74.49,1476700,74.49
2015-02-02,73.11,73.52,71.78,73.44,1110800,73.44
2015-01-30,73.10,73.65,72.45,72.53,1534800,72.53
2015-01-29,72.81,73.91,72.61,73.87,1050200,73.87
2015-01-28,73.43,74.08,72.79,72.84,1085200,72.84
2015-01-27,73.22,73.89,72.70,73.24,770500,73.24
2015-01-26,73.72,74.61,73.62,74.31,804800,74.31
2015-01-23,73.79,74.36,73.29,74.06,678500,74.06
2015-01-22,72.82,73.72,71.91,73.63,808900,73.63
2015-01-21,72.51,73.07,71.99,72.42,1150200,72.42
2015-01-20,73.45,73.60,72.17,73.15,1172900,73.15
2015-01-16,71.83,73.14,71.53,73.04,1097700,73.04
2015-01-15,71.96,72.23,71.38,71.72,877500,71.72
2015-01-14,71.43,71.93,71.17,71.79,832100,71.79
2015-01-13,72.63,73.73,71.74,72.22,974500,72.22
2015-01-12,72.28,72.44,71.68,71.97,1198400,71.97
2015-01-09,72.33,72.71,71.75,72.07,1375700,72.07
2015-01-08,71.54,72.52,71.50,72.28,1566500,72.28
2015-01-07,70.28,70.86,69.74,70.84,1118500,70.84
2015-01-06,70.11,70.51,69.13,69.89,2870500,69.89
2015-01-05,70.36,70.69,69.56,69.82,1040700,69.82
2015-01-02,71.49,71.99,70.36,70.62,1013900,70.62
